;TP_SEXO;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;CO_MUNICIPIO_ESC;Q001;Q002;Q003;Q004;Q022;Q024;Q025;RendaMaxima;ClasseSocial;anosEstudoPai;anosEstudoMae;RazaoPessoasQuarto;PessoasPorQuarto;mediaNota;NOTA_MT;NOTA_LC;NOTA_CH;NOTA_CN;NOTA_REDACAO;Cluster
502;F;Parda;Estadual;Urbano;495.6;494.7;549.7;503.1;680.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;NãoSabe;Grupo(A,B,C);Sim;Não;Sim;1996;E;5;5;1.67;(1, 2];544.62;(500, 650];(500, 650];(300, 500];(300, 500];(650.0, 800.0];0
503;F;Parda;Particular;Urbano;409.7;399.9;468.1;409.9;740.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1497;E;5;4;2.0;(1, 2];485.52;(300, 500];(300, 500];(300, 500];(300, 500];(650.0, 800.0];1
504;F;Parda;Estadual;Urbano;529.0;592.9;543.3;583.4;740.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1996;E;5;4;3.0;(2, 3];597.72;(500, 650];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
505;M;Parda;Estadual;Urbano;446.5;510.3;530.9;396.2;520.0;2211001.0;Superior;Medio;Grupo(A,B,C);Grupo(D,E);Sim;Sim;Sim;1996;E;16;12;1.67;(1, 2];480.78;(300, 500];(500, 650];(500, 650];(300, 500];(500.0, 650.0];1
506;M;Parda;Estadual;Urbano;476.1;589.8;586.8;568.3;580.0;2211001.0;Medio;Medio;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;1497;E;12;12;2.0;(1, 2];560.1999999999998;(500, 650];(500, 650];(500, 650];(300, 500];(500.0, 650.0];0
507;F;Parda;Estadual;Urbano;554.1;610.5;579.4;535.3;720.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2495;D;12;12;1.67;(1, 2];599.8599999999999;(500, 650];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
508;F;Parda;Estadual;Urbano;477.7;532.3;526.8;545.1;720.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;2495;D;12;12;1.67;(1, 2];560.3799999999999;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];0
509;M;Branco;Particular;Urbano;543.9;447.4;498.8;594.0;680.0;2211001.0;FundamentalCompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;9;12;5.5;(4, 20];552.8199999999998;(500, 650];(300, 500];(300, 500];(500, 650];(650.0, 800.0];1
510;F;Parda;Estadual;Urbano;488.4;520.2;538.6;513.6;800.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;0;E;12;12;2.5;(2, 3];572.1600000000002;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];0
511;F;Parda;Estadual;Urbano;521.8;570.4;561.8;409.0;620.0;2211001.0;FundamentalCompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Não;Não;Nao;998;E;9;9;5.0;(4, 20];536.6;(300, 500];(500, 650];(500, 650];(500, 650];(500.0, 650.0];0
512;F;Preta;Estadual;Urbano;471.9;587.4;593.3;539.7;720.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;4;9;1.33;(1, 2];582.4599999999998;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];0
513;F;Parda;Estadual;Urbano;373.1;449.8;528.3;421.2;700.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;5;4;4.0;(3, 4];494.48;(300, 500];(500, 650];(300, 500];(300, 500];(650.0, 800.0];1
514;F;Branco;Particular;Urbano;570.9;617.7;620.6;797.7;820.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Nao;1996;E;18;18;1.0;(0, 1];685.38;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
515;F;Parda;Estadual;Urbano;393.0;577.6;583.5;403.2;620.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;9;5;1.5;(1, 2];515.46;(300, 500];(500, 650];(500, 650];(300, 500];(500.0, 650.0];1
516;F;Parda;Estadual;Urbano;503.1;568.3;552.4;642.8;860.0;2211001.0;Medio;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1497;E;12;9;1.67;(1, 2];625.3199999999998;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
517;F;Branco;Estadual;Urbano;466.9;476.7;516.3;398.3;680.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;2994;D;9;5;1.33;(1, 2];507.64;(300, 500];(500, 650];(300, 500];(300, 500];(650.0, 800.0];1
518;F;Parda;Particular;Urbano;525.3;372.6;535.5;604.3;780.0;2211001.0;Medio;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;1497;E;12;12;1.33;(1, 2];563.54;(500, 650];(500, 650];(300, 500];(500, 650];(650.0, 800.0];0
519;M;Parda;Estadual;Urbano;435.7;371.5;438.1;536.6;540.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;12;12;2.0;(1, 2];464.38;(500, 650];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
520;F;Parda;Particular;Urbano;580.6;606.5;616.1;606.5;640.0;2211001.0;Superior;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;1497;E;16;12;1.33;(1, 2];609.9399999999998;(500, 650];(500, 650];(500, 650];(500, 650];(500.0, 650.0];0
521;F;Preta;Estadual;Urbano;431.8;325.4;448.5;407.5;640.0;2211001.0;FundamentalIncompleto;FundamentalCompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;5;9;2.0;(1, 2];450.64;(300, 500];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
522;M;Parda;Estadual;Urbano;446.7;471.7;421.6;463.4;360.0;2211001.0;FundamentalCompleto;Superior;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1497;E;9;16;2.5;(2, 3];432.68;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
523;M;Branco;Particular;Urbano;623.0;604.4;617.1;650.6;780.0;2211001.0;Superior;Medio;Grupo(D,E);Grupo(A,B,C);Sim;Sim;Sim;2994;D;16;12;2.0;(1, 2];655.02;(650, 800];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
524;F;Parda;Federal;Urbano;482.4;564.1;553.4;496.3;660.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(D,E);Sim;Não;Sim;1497;E;4;12;2.5;(2, 3];551.24;(300, 500];(500, 650];(500, 650];(300, 500];(650.0, 800.0];0
525;M;Branco;Particular;Urbano;552.7;643.9;611.4;718.4;900.0;2211001.0;FundamentalIncompleto;Medio;NãoSabe;Grupo(A,B,C);Sim;Sim;Sim;5988;C;5;12;2.0;(1, 2];685.28;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
526;F;Branco;Estadual;Urbano;467.1;483.6;483.0;446.1;500.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;0;E;4;4;1.67;(1, 2];475.96;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
527;M;Parda;Estadual;Urbano;416.3;377.0;419.9;433.5;300.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;0;5;2.0;(1, 2];389.34;(300, 500];(300, 500];(300, 500];(300, 500];(-0.001, 300.0];1
528;F;Parda;Estadual;Urbano;382.1;437.6;428.1;398.2;240.0;2211001.0;FundamentalIncompleto;FundamentalIncompleto;NãoSabe;NãoSabe;Sim;Não;Sim;998;E;4;4;3.0;(2, 3];377.2;(300, 500];(300, 500];(300, 500];(300, 500];(-0.001, 300.0];1
529;M;Amarelo;Estadual;Urbano;436.4;534.2;545.8;526.0;660.0;2211001.0;Medio;Medio;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;1996;E;12;12;1.67;(1, 2];540.48;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];1
530;F;Branco;Particular;Urbano;576.6;557.2;584.0;698.9;900.0;2211001.0;Medio;Superior;Grupo(D,E);Grupo(D,E);Sim;Não;Sim;4990;C;12;16;1.5;(1, 2];663.3399999999998;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
531;M;Parda;Estadual;Urbano;470.8;549.3;547.6;650.8;540.0;2211001.0;Medio;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;998;E;12;5;2.33;(2, 3];551.7;(650, 800];(500, 650];(500, 650];(300, 500];(500.0, 650.0];0
532;M;Branco;Particular;Urbano;525.3;574.8;561.9;588.5;820.0;2211001.0;NaoSabe;NaoSabe;Grupo(D,E);NãoSabe;Não;Sim;Sim;5988;C;0;0;0.25;(0, 1];614.1;(500, 650];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
533;M;Preta;Estadual;Urbano;397.8;559.4;547.1;522.9;700.0;2211001.0;Medio;FundamentalCompleto;Grupo(A,B,C);NãoSabe;Sim;Não;Sim;2495;D;12;9;1.33;(1, 2];545.44;(500, 650];(500, 650];(500, 650];(300, 500];(650.0, 800.0];1
534;M;Parda;Particular;Urbano;659.7;659.9;635.7;823.8;960.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;8982;C;18;18;1.67;(1, 2];747.8199999999998;(800, 1000];(500, 650];(650, 800];(650, 800];(800.0, 1000.0];0
535;F;Parda;Estadual;Urbano;422.9;404.6;480.1;361.8;360.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Nao;998;E;12;12;2.5;(2, 3];405.88;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
